timestamp,Lantai_No,Ruangan,Occupansi
01/01/2024,6,Musshola,0
01/01/2024,6,DBT 2 OPMC Project 1,6
01/01/2024,6,DBT 2 OPMC Helpdesk,0
01/01/2024,6,DBT 2 OPMC Bigbox,10
01/01/2024,6,DBT 2 OPMC Working Space,7
01/01/2024,6,DBT 2 OPMC Pantry,3
01/01/2024,6,DBT 2 OPMC Musshola,3
01/01/2024,6,DBT 2 OPMC Storage,6
01/01/2024,6,DBT 2 OPMC Project 2,10
01/01/2024,6,DBT 2 OPMC Project 3,7
01/01/2024,6,DBT 2 OPMC Project 4,5
01/01/2024,6,DBT 2 OPMC Istirahat,3
01/01/2024,6,DBT 2 OPMC Meeting 2,3
01/01/2024,7,Ruang Meeting 3,12
01/01/2024,6,Pimpinan,7
01/01/2024,6,Server,2
01/01/2024,4,Manager Arnet,2
01/01/2024,4,WOC,2
01/01/2024,4,Manager WOC Depan,1
01/01/2024,4,Rapat WOC,3
01/01/2024,4,Manager WOC Belakang,2
01/01/2024,4,Pantry OPMC Belakang,0
01/01/2024,4,Toilet Laki - Laki,1
01/01/2024,4,Toilet Perempuan,5
01/01/2024,4,Koridor Witel dan OPMC,3
01/01/2024,5,Finance,2
01/01/2024,6,Istirahat,3
01/01/2024,5,Paycall,0
01/01/2024,5,Manager GS,3
01/01/2024,5,Rapat,8
01/01/2024,5,Manager,10
01/01/2024,6,Lobby,4
01/01/2024,6,Working Space,5
01/01/2024,6,Meeting,10
01/01/2024,6,Loker Wanita,8
01/01/2024,6,Loker Pria,5
01/01/2024,6,Penyimpanan,7
01/01/2024,6,Monitor Control,0
01/01/2024,5,GS,0
01/01/2024,7,Ruang Meeting 2,17
01/01/2024,7,Meeting 1,6
01/01/2024,7,Ruang Lobby,17
01/01/2024,2,Koridor OPMC,20
01/01/2024,3,Digital Lab,16
01/01/2024,3,CC,5
01/01/2024,3,HR,15
01/01/2024,3,Manager CC,10
01/01/2024,3,Rapat CC,13
01/01/2024,3,Rapat HR,13
01/01/2024,3,Toilet Laki,6
01/01/2024,3,Toilet Perempuan,1
01/01/2024,3,Koridor Witel dan OPMC,14
01/01/2024,2,Pantry belakang OPMC,4
01/01/2024,3,Masjid,10
01/01/2024,3,Tempat Wudhu Pria,7
01/01/2024,3,Tempat Wudhu Wanita,10
01/01/2024,4,Anet,8
01/01/2024,4,HR,13
01/01/2024,4,Rapat Arnet,18
01/01/2024,4,Manager Arnet,7
01/01/2024,4,WOC,3
01/01/2024,4,Manager WOC Depan,3
01/01/2024,4,Rapat WOC,20
01/01/2024,1,Pool KBM,3
01/01/2024,2,WAN,8
01/01/2024,1,Lobby,7
01/01/2024,1,SAS,2
01/01/2024,1,DBS,5
01/01/2024,1,Pantry DBS,4
01/01/2024,1,P3K,3
01/01/2024,1,P2Tel,2
01/01/2024,1,Indibiz,5
01/01/2024,1,Toilet Pria Lobby,3
01/01/2024,1,Toilet Wanita Lobby,9
01/01/2024,1,Toilet Pria Samping Lift,5
01/01/2024,2,Gudang WAN,5
01/01/2024,1,Toilet Wanita Samping Lift,9
01/01/2024,2,DGM,10
01/01/2024,2,GM,18
01/01/2024,2,Rapat Kecil,13
01/01/2024,2,Tamu,12
01/01/2024,2,Rapat Besar,18
01/01/2024,2,Makan,12
01/01/2024,2,Gen Y Corner,14
01/01/2024,2,Warroom,7
01/01/2024,2,Fosikatel,10
01/01/2024,2,Business service,2
01/01/2024,2,Lobby,7
01/01/2024,6,DBT 2 OPMC Operational Video Wall,10
01/01/2024,4,Pantry OPMC Belakang,6
01/01/2024,4,Toilet Perempuan,8
01/01/2024,6,DBT 2 OPMC Meeting 1,13
01/01/2024,6,DBT 2 OPMC Lobby,4
01/01/2024,6,DBT 2 OPMC Project 1,4
01/01/2024,6,DBT 2 OPMC Meeting 2,4
01/01/2024,6,DBT 2 OPMC Helpdesk,2
01/01/2024,6,DBT 2 OPMC Bigbox,13
01/01/2024,6,DBT 2 OPMC Working Space,1
01/01/2024,6,DBT 2 OPMC Pantry,8
01/01/2024,6,DBT 2 OPMC Musshola,2
01/01/2024,6,DBT 2 OPMC Storage,2
01/01/2024,6,Dapur,6
01/01/2024,6,DBT 2 OPMC Project 2,5
01/01/2024,6,DBT 2 OPMC Project 4,3
01/01/2024,6,DBT 2 OPMC Istirahat,10
01/01/2024,6,DBT 2 OPMC Operational Video Wall,4
01/01/2024,6,DBT 2 OPMC Pantry 2,5
01/01/2024,6,DBT Lorong,3
01/01/2024,6,Istirahat,15
01/01/2024,6,Manager Kopeg Tel,7
01/01/2024,7,Toilet Pria,5
01/01/2024,7,Toilet Wanita,3
01/01/2024,7,Koridor,9
01/01/2024,4,Toilet Laki - Laki,6
01/01/2024,1,Gudang,3
01/01/2024,6,Tunggu,8
01/01/2024,4,Koridor Witel dan OPMC,16
01/01/2024,5,Finance,18
01/01/2024,5,Paycall,10
01/01/2024,5,GS,4
01/01/2024,5,Rapat,6
01/01/2024,5,Manager,2
01/01/2024,6,Lobby,5
01/01/2024,6,Working Space,1
01/01/2024,6,Meeting 2,17
01/01/2024,6,Loker Wanita,2
01/01/2024,6,Penyimpanan,1
01/01/2024,6,Monitor Control,9
01/01/2024,6,Server,9
01/01/2024,6,Istirahat,7
01/01/2024,6,Pimpinan,3
01/01/2024,6,Musshola,10
01/01/2024,6,Wudhu,3
01/01/2024,6,Kamar Mandi Wanita,2
01/01/2024,6,Pantry 2,6
01/01/2024,6,Loker Pria,1
01/01/2024,6,DBT 2 OPMC Pantry 2,0
01/01/2024,8,Aula Luar,10
01/01/2024,7,Ruang Smoking,18
01/01/2024,7,Ruang Nursery,6
01/01/2024,8,Aula Dalam,5
01/01/2024,7,Koridor,4
01/01/2024,8,Fitness,6
01/01/2024,8,Kamar mandi pria,9
01/01/2024,7,Ruang Meeting 4,14
01/01/2024,7,Ruang Lift,0
01/01/2024,7,Ruang SL 2,8
01/01/2024,7,Ruang Meeting 3,10
01/01/2024,7,Ruang Lobby,3
01/01/2024,7,Ruang Working Space,73
01/01/2024,6,Manager Kopeg Tel,9
01/01/2024,8,Evakuasi,10
01/01/2024,6,Istirahat,6
01/01/2024,7,Ruang Dapur,2
01/01/2024,8,Pantry,10
01/01/2024,7,Ruang Pantry,2
01/01/2024,7,Ruang Meeting 2,6
01/01/2024,7,Meeting 1,7
01/01/2024,6,DBT Lorong,1
01/01/2024,7,Ruang SL 1,9
01/01/2024,7,Ruang Istirahat,6
01/01/2024,8,Aula Luar,2
01/01/2024,8,Kamar mandi wanita,4
01/01/2024,7,Toilet Pria,2
01/01/2024,7,Ruang SL 3,10
01/02/2024,6,Loker Wanita,2
01/02/2024,7,Ruang Lobby,3
01/02/2024,6,Lobby,6
01/02/2024,6,Working Space,16
01/02/2024,3,Tempat Wudhu Pria,5
01/02/2024,6,Loker Pria,3
01/02/2024,6,Meeting,19
01/02/2024,3,DKM,9
01/02/2024,4,Manager Arnet,7
01/02/2024,6,Loker Wanita,5
01/02/2024,4,Rapat Arnet,10
01/02/2024,6,Loker Pria,7
01/02/2024,7,Ruang Dapur,1
01/02/2024,4,Manager WOC Depan,3
01/02/2024,4,WOC,2
01/02/2024,3,Masjid,5
01/02/2024,3,Tempat Wudhu Wanita,2
01/02/2024,3,DKM,1
01/02/2024,7,Ruang Istirahat,3
01/02/2024,6,Musshola,10
01/02/2024,7,Meeting 1,5
01/02/2024,3,Tempat Wudhu Pria,15
01/02/2024,6,Pimpinan,7
01/02/2024,3,Toilet Perempuan,2
01/02/2024,4,Big Box,9
01/02/2024,3,Tempat Wudhu Wanita,4
01/02/2024,4,Anet,9
01/02/2024,6,Server,6
01/02/2024,4,HR,9
01/02/2024,6,Penyimpanan,1
01/02/2024,6,Monitor Control,1
01/02/2024,3,Koridor Witel dan OPMC,7
01/02/2024,6,Penyimpanan,10
01/02/2024,6,Istirahat,2
01/02/2024,6,Meeting,6
01/02/2024,5,Manager,9
01/02/2024,4,Big Box,2
01/02/2024,8,Aula Luar,1
01/02/2024,5,Paycall,5
01/02/2024,4,HR,5
01/02/2024,4,Manager WOC Belakang,3
01/02/2024,8,Fitness,6
01/02/2024,5,GS,8
01/02/2024,6,Lobby,4
01/02/2024,4,Rapat WOC,3
01/02/2024,4,Manager WOC Depan,10
01/02/2024,5,Manager GS,9
01/02/2024,4,WOC,11
01/02/2024,5,Rapat,9
01/02/2024,4,Manager Arnet,10
01/02/2024,4,Rapat Arnet,2
01/02/2024,5,Manager,4
01/02/2024,7,Toilet Wanita,1
01/02/2024,4,Pantry OPMC Belakang,4
01/02/2024,5,Finance,7
01/02/2024,6,Working Space,9
01/02/2024,5,Rapat,11
01/02/2024,4,Anet,17
01/02/2024,5,GS,7
01/02/2024,4,Pantry OPMC Belakang,7
01/02/2024,7,Ruang Lift,1
01/02/2024,5,Paycall,7
01/02/2024,4,Toilet Laki - Laki,7
01/02/2024,4,Toilet Perempuan,3
01/02/2024,6,Wudhu,6
01/02/2024,4,Koridor Witel dan OPMC,10
01/02/2024,4,Koridor Witel dan OPMC,5
01/02/2024,4,Toilet Perempuan,8
01/02/2024,4,Toilet Laki - Laki,1
01/02/2024,7,Koridor,9
01/02/2024,5,Finance,12
01/02/2024,6,DBT 2 OPMC Pantry 2,3
01/02/2024,6,Pantry 2,2
01/02/2024,6,Kamar Mandi Pria,4
01/02/2024,7,Ruang Meeting 3,1
01/02/2024,7,Ruang Meeting 2,15
01/02/2024,2,DGM,9
01/02/2024,7,Meeting 1,17
01/02/2024,1,Pompa,3
01/02/2024,7,Ruang Lobby,4
01/02/2024,2,GM,9
01/02/2024,7,Koridor,1
01/02/2024,2,Lobby,2
01/02/2024,7,Ruang Nursery,4
01/02/2024,7,Toilet Wanita,6
01/02/2024,2,Tamu,1
01/02/2024,7,Toilet Pria,4
01/02/2024,2,Rapat Besar,5
01/02/2024,6,Manager Kopeg Tel,8
01/02/2024,7,Ruang Meeting 4,11
01/02/2024,2,Makan,6
01/02/2024,6,Istirahat,9
01/02/2024,2,Rapat Kecil,4
01/02/2024,6,DBT Lorong,3
01/02/2024,7,Ruang Meeting 4,6
01/02/2024,7,Ruang SL 1,8
01/02/2024,7,Ruang Lift,4
01/02/2024,7,Ruang Dapur,8
01/02/2024,7,Ruang SL 2,12
01/02/2024,8,Fitness,3
01/02/2024,7,Ruang Pantry,5
01/02/2024,8,Aula Luar,3
01/02/2024,7,Ruang Working Space,1
01/02/2024,8,Aula Dalam,8
01/02/2024,8,Kamar mandi wanita,1
01/02/2024,7,Ruang Nursery,6
01/02/2024,8,Kamar mandi pria,3
01/02/2024,7,Ruang SL 3,4
01/02/2024,8,Pantry,8
01/02/2024,7,Ruang SL 2,5
01/02/2024,7,Ruang SL 3,11
01/02/2024,8,Evakuasi,3
01/02/2024,7,Ruang SL 1,3
01/02/2024,7,Ruang Smoking,9
01/02/2024,2,Gen Y Corner,2
01/02/2024,2,Warroom,4
01/02/2024,3,HR,1
01/02/2024,6,DBT 2 OPMC Project 1,8
01/02/2024,3,Manager CC,8
01/02/2024,6,DBT 2 OPMC Lobby,4
01/02/2024,7,Ruang Meeting 2,6
01/02/2024,3,Rapat CC,10
01/02/2024,6,DBT 2 OPMC Meeting 1,2
01/02/2024,3,Rapat HR,8
01/02/2024,6,DBT 2 OPMC Meeting 2,3
01/02/2024,6,Dapur,3
01/02/2024,3,Toilet Laki,1
01/02/2024,6,Meeting 2,6
01/02/2024,6,Tunggu,9
01/02/2024,3,Toilet Perempuan,8
01/02/2024,8,Kamar mandi wanita,10
01/02/2024,3,Koridor Witel dan OPMC,3
01/02/2024,6,Kamar Mandi Wanita,1
01/02/2024,1,Gudang,1
01/02/2024,7,Ruang Pantry,1
01/02/2024,6,DBT 2 OPMC Helpdesk,1
01/02/2024,3,CC,10
01/02/2024,6,DBT 2 OPMC Bigbox,20
01/02/2024,6,DBT 2 OPMC Operational Video Wall,2
01/02/2024,7,Ruang Smoking,20
01/02/2024,6,DBT 2 OPMC Istirahat,1
01/02/2024,2,Fosikatel,1
01/02/2024,6,DBT 2 OPMC Project 4,6
01/02/2024,2,Business service,6
01/02/2024,6,DBT 2 OPMC Project 3,5
01/02/2024,2,WAN,4
01/02/2024,6,DBT 2 OPMC Project 2,2
01/02/2024,7,Ruang Meeting 3,11
01/02/2024,2,Gudang WAN,4
01/02/2024,6,DBT 2 OPMC Storage,9
01/02/2024,2,Pantry belakang OPMC,2
01/02/2024,6,DBT 2 OPMC Musshola,3
01/02/2024,6,DBT 2 OPMC Pantry,1
01/02/2024,2,Koridor OPMC,4
01/02/2024,6,DBT 2 OPMC Working Space,18
01/02/2024,7,Ruang Working Space,90
01/02/2024,3,Digital Lab,1
01/02/2024,3,Masjid,268
01/02/2024,6,Dapur,8
01/02/2024,6,DBT 2 OPMC Project 2,6
01/02/2024,2,DGM,13
01/02/2024,3,HR,2
01/02/2024,6,DBT 2 OPMC Bigbox,1
01/02/2024,1,Workshop,4
01/02/2024,6,DBT Lorong,10
01/02/2024,6,Musshola,5
01/02/2024,8,Evakuasi,6
01/02/2024,1,SAS,3
01/02/2024,2,WAN,3
01/02/2024,2,Pantry belakang OPMC,8
01/02/2024,1,Satpam,4
01/02/2024,6,DBT 2 OPMC Operational Video Wall,8
01/02/2024,6,Tunggu,6
01/02/2024,3,Manager CC,1
01/02/2024,6,DBT 2 OPMC Working Space,0
01/02/2024,6,DBT 2 OPMC Lobby,3
01/02/2024,2,Makan,2
01/02/2024,2,Lobby,3
01/02/2024,2,Rapat Besar,19
01/02/2024,3,CC,3
01/02/2024,6,Pantry 2,10
01/02/2024,6,Istirahat,0
01/02/2024,6,DBT 2 OPMC Istirahat,5
01/02/2024,6,DBT 2 OPMC Meeting 2,6
01/02/2024,6,Kamar Mandi Wanita,2
01/02/2024,2,Tamu,11
01/02/2024,1,DBS,4
01/02/2024,2,Rapat Kecil,9
01/02/2024,1,P2Tel,5
01/02/2024,6,Kamar Mandi Pria,2
01/02/2024,6,DBT 2 OPMC Project 3,3
01/02/2024,2,Koridor OPMC,17
01/02/2024,6,DBT 2 OPMC Project 1,6
01/02/2024,6,DBT 2 OPMC Helpdesk,5
01/02/2024,2,Gudang WAN,1
01/02/2024,3,Digital Lab,11
01/02/2024,2,GM,19
01/02/2024,6,Wudhu,10
01/02/2024,6,Manager Kopeg Tel,4
01/02/2024,1,Indibiz,1
01/02/2024,6,Pimpinan,2
01/02/2024,8,Aula Dalam,5
01/02/2024,2,Business service,7
01/02/2024,2,Fosikatel,3
01/02/2024,6,DBT 2 OPMC Project 4,2
01/02/2024,1,Toilet Pria Samping Lift,2
01/02/2024,6,Meeting 2,5
01/02/2024,6,Server,4
01/02/2024,6,DBT 2 OPMC Musshola,1
01/02/2024,1,Lobby,7
01/02/2024,3,Rapat HR,4
01/02/2024,2,Gen Y Corner,3
01/02/2024,6,DBT 2 OPMC Meeting 1,9
01/02/2024,1,P3K,10
01/02/2024,7,Toilet Pria,2
01/02/2024,1,Pool KBM,2
01/02/2024,6,DBT 2 OPMC Pantry,6
01/02/2024,6,DBT 2 OPMC Storage,8
01/02/2024,1,Toilet Pria Lobby,4
01/02/2024,1,Parkir Motor,3
01/02/2024,1,Pantry DBS,7
01/02/2024,6,Istirahat,6
01/02/2024,1,Toilet Wanita Lobby,10
01/02/2024,3,Toilet Laki,7
01/02/2024,8,Pantry,5
01/02/2024,2,Warroom,9
01/02/2024,1,Toilet Wanita Samping Lift,2
01/02/2024,3,Rapat CC,14
01/03/2024,3,Rapat HR,4
01/03/2024,6,Istirahat,4
01/03/2024,3,Toilet Laki,8
01/03/2024,3,Tempat Wudhu Wanita,4
01/03/2024,6,Meeting 2,18
01/03/2024,1,Pool KBM,2
01/03/2024,6,Pimpinan,10
01/03/2024,2,Tamu,12
01/03/2024,7,Ruang Meeting 3,16
01/03/2024,7,Ruang Pantry,1
01/03/2024,8,Aula Dalam,2
01/03/2024,6,DBT 2 OPMC Project 1,10
01/03/2024,6,Dapur,1
01/03/2024,2,Makan,18
01/03/2024,6,Tunggu,9
01/03/2024,7,Meeting 1,6
01/03/2024,1,P3K,1
01/03/2024,6,Wudhu,6
01/03/2024,6,Kamar Mandi Pria,3
01/03/2024,2,Lobby,1
01/03/2024,8,Pantry,5
01/03/2024,3,DKM,9
01/03/2024,6,DBT 2 OPMC Lobby,5
01/03/2024,6,DBT 2 OPMC Meeting 1,5
01/03/2024,3,Koridor Witel dan OPMC,4
01/03/2024,6,Istirahat,7
01/03/2024,6,Kamar Mandi Wanita,5
01/03/2024,2,Rapat Besar,10
01/03/2024,6,Pantry 2,4
01/03/2024,6,Musshola,6
01/03/2024,3,Toilet Perempuan,2
01/03/2024,2,Gen Y Corner,15
01/03/2024,3,Tempat Wudhu Pria,14
01/03/2024,6,DBT 2 OPMC Project 3,1
01/03/2024,3,Masjid,229
01/03/2024,2,DGM,5
01/03/2024,7,Ruang Istirahat,6
01/03/2024,6,DBT 2 OPMC Pantry 2,8
01/03/2024,7,Ruang Meeting 2,16
01/03/2024,6,Monitor Control,9
01/03/2024,6,DBT 2 OPMC Meeting 2,6
01/03/2024,7,Ruang Nursery,3
01/03/2024,6,DBT 2 OPMC Project 2,5
01/03/2024,1,Indibiz,2
01/03/2024,2,WAN,4
01/03/2024,1,Toilet Wanita Samping Lift,2
01/03/2024,7,Ruang Meeting 3,15
01/03/2024,2,Tamu,3
01/03/2024,6,DBT 2 OPMC Project 3,7
01/03/2024,7,Toilet Pria,10
01/03/2024,2,Business service,7
01/03/2024,6,DBT 2 OPMC Project 4,5
01/03/2024,7,Ruang Smoking,13
01/03/2024,2,Fosikatel,9
01/03/2024,6,DBT 2 OPMC Pantry,0
01/03/2024,6,DBT 2 OPMC Working Space,1
01/03/2024,7,Ruang Meeting 4,10
01/03/2024,6,DBT 2 OPMC Storage,4
01/03/2024,1,Toilet Pria Samping Lift,7
01/03/2024,2,Warroom,2
01/03/2024,2,Rapat Besar,9
01/03/2024,6,DBT 2 OPMC Operational Video Wall,5
01/03/2024,6,Manager Kopeg Tel,5
01/03/2024,1,Toilet Wanita Lobby,3
01/03/2024,6,DBT 2 OPMC Pantry 2,6
01/03/2024,2,Gen Y Corner,7
01/03/2024,6,DBT 2 OPMC Musshola,10
01/03/2024,6,DBT Lorong,8
01/03/2024,6,Istirahat,2
01/03/2024,2,Makan,9
01/03/2024,1,Toilet Pria Lobby,10
01/03/2024,6,DBT 2 OPMC Istirahat,3
01/03/2024,3,Rapat CC,10
01/03/2024,2,Gudang WAN,7
01/03/2024,7,Toilet Wanita,7
01/03/2024,6,DBT 2 OPMC Meeting 1,3
01/03/2024,7,Ruang Lobby,1
01/03/2024,2,Rapat Kecil,10
01/03/2024,6,DBT 2 OPMC Lobby,8
01/03/2024,3,Manager CC,5
01/03/2024,7,Ruang Meeting 2,6
01/03/2024,1,P2Tel,4
01/03/2024,6,DBT 2 OPMC Project 1,9
01/03/2024,2,GM,2
01/03/2024,1,Gudang,1
01/03/2024,2,GM,13
01/03/2024,6,DBT 2 OPMC Meeting 2,3
01/03/2024,6,DBT 2 OPMC Helpdesk,3
01/03/2024,3,CC,2
01/03/2024,6,DBT 2 OPMC Storage,1
01/03/2024,6,DBT 2 OPMC Helpdesk,2
01/03/2024,7,Ruang Working Space,70
01/03/2024,6,DBT 2 OPMC Project 2,1
01/03/2024,6,DBT 2 OPMC Bigbox,4
01/03/2024,3,Digital Lab,10
01/03/2024,2,DGM,20
01/03/2024,2,Koridor OPMC,5
01/03/2024,6,DBT 2 OPMC Bigbox,8
01/03/2024,2,Rapat Kecil,4
01/03/2024,6,DBT 2 OPMC Pantry,8
01/03/2024,2,Lobby,3
01/03/2024,2,Pantry belakang OPMC,6
01/03/2024,8,Evakuasi,0
01/03/2024,6,DBT 2 OPMC Musshola,3
01/03/2024,7,Koridor,11
01/03/2024,3,HR,5
01/03/2024,6,Penyimpanan,10
01/03/2024,4,Anet,9
01/03/2024,5,Manager,10
01/03/2024,3,Manager CC,4
01/03/2024,4,Rapat Arnet,17
01/03/2024,5,Rapat,5
01/03/2024,8,Aula Luar,10
01/03/2024,4,Manager Arnet,2
01/03/2024,3,HR,15
01/03/2024,4,WOC,2
01/03/2024,7,Ruang Working Space,4
01/03/2024,5,Manager GS,5
01/03/2024,6,Musshola,10
01/03/2024,4,Manager WOC Depan,6
01/03/2024,8,Fitness,0
01/03/2024,5,GS,3
01/03/2024,4,Big Box,9
01/03/2024,7,Ruang Smoking,3
01/03/2024,3,CC,6
01/03/2024,4,Manager WOC Belakang,4
01/03/2024,5,Paycall,4
01/03/2024,8,Kamar mandi wanita,2
01/03/2024,3,Digital Lab,14
01/03/2024,1,SAS,7
01/03/2024,6,Wudhu,9
01/03/2024,4,Pantry OPMC Belakang,3
01/03/2024,5,Finance,1
01/03/2024,6,Dapur,2
01/03/2024,7,Ruang Nursery,4
01/03/2024,2,Koridor OPMC,7
01/03/2024,4,Toilet Laki - Laki,10
01/03/2024,4,Koridor Witel dan OPMC,10
01/03/2024,4,Rapat WOC,11
01/03/2024,6,Pimpinan,8
01/03/2024,6,DBT 2 OPMC Operational Video Wall,1
01/03/2024,7,Toilet Wanita,2
01/03/2024,3,Toilet Perempuan,9
01/03/2024,7,Ruang Lift,1
01/03/2024,6,Penyimpanan,0
01/03/2024,8,Kamar mandi wanita,7
01/03/2024,3,Koridor Witel dan OPMC,15
01/03/2024,7,Ruang Dapur,9
01/03/2024,7,Toilet Pria,2
01/03/2024,3,Masjid,3
01/03/2024,6,Loker Pria,4
01/03/2024,1,Parkir Motor,4
01/03/2024,6,Server,2
01/03/2024,3,DKM,4
01/03/2024,6,Loker Wanita,8
01/03/2024,3,Rapat HR,1
01/03/2024,3,Tempat Wudhu Pria,1
01/03/2024,7,Ruang Istirahat,10
01/03/2024,7,Ruang Pantry,5
01/03/2024,6,Lobby,4
01/03/2024,4,HR,15
01/03/2024,3,Rapat CC,9
01/03/2024,7,Ruang SL 2,12
01/03/2024,6,Istirahat,3
01/03/2024,7,Koridor,6
01/03/2024,6,Working Space,5
01/03/2024,8,Aula Luar,8
01/03/2024,1,Lobby,8
01/03/2024,8,Fitness,13
01/03/2024,1,Workshop,1
01/03/2024,6,Meeting,5
01/03/2024,3,Tempat Wudhu Wanita,9
01/03/2024,4,Anet,1
01/03/2024,4,Toilet Perempuan,4
01/03/2024,6,Lobby,10
01/03/2024,6,Pantry 2,7
01/03/2024,4,HR,0
01/03/2024,5,Manager,11
01/03/2024,7,Ruang SL 2,6
01/03/2024,1,Satpam,4
01/03/2024,6,DBT 2 OPMC Project 4,10
01/03/2024,6,Meeting 2,9
01/03/2024,4,Manager WOC Depan,1
01/03/2024,4,Big Box,8
01/03/2024,2,WAN,13
01/03/2024,6,Kamar Mandi Pria,2
01/03/2024,7,Ruang Meeting 4,4
01/03/2024,6,Loker Pria,1
01/03/2024,1,Pompa,2
01/03/2024,6,Working Space,1
01/03/2024,4,WOC,9
01/03/2024,7,Ruang Lobby,2
01/03/2024,2,Fosikatel,3
01/03/2024,7,Ruang SL 1,5
01/03/2024,6,Tunggu,2
01/03/2024,6,Meeting,8
01/03/2024,7,Ruang SL 3,8
01/03/2024,4,Manager Arnet,5
01/03/2024,8,Evakuasi,5
01/03/2024,4,Rapat Arnet,1
01/03/2024,7,Ruang Dapur,1
01/03/2024,2,Business service,8
01/03/2024,6,Loker Wanita,1
01/03/2024,4,Rapat WOC,9
01/03/2024,2,Warroom,6
01/03/2024,6,Monitor Control,4
01/03/2024,4,Koridor Witel dan OPMC,20
01/03/2024,4,Toilet Perempuan,10
01/03/2024,8,Kamar mandi pria,3
01/03/2024,5,Finance,17
01/03/2024,6,DBT 2 OPMC Istirahat,7
01/03/2024,4,Toilet Laki - Laki,7
01/03/2024,2,Pantry belakang OPMC,4
01/03/2024,8,Pantry,2
01/03/2024,5,Paycall,8
01/03/2024,6,Manager Kopeg Tel,4
01/03/2024,6,Kamar Mandi Wanita,1
01/03/2024,5,Rapat,1
01/03/2024,1,DBS,10
01/03/2024,2,Gudang WAN,10
01/03/2024,8,Aula Dalam,13
01/03/2024,4,Manager WOC Belakang,6
01/03/2024,5,Manager GS,8
01/03/2024,4,Pantry OPMC Belakang,7
01/03/2024,7,Ruang SL 1,10
01/03/2024,8,Kamar mandi pria,2
01/03/2024,6,Server,9
01/03/2024,5,GS,5
01/03/2024,1,Pantry DBS,4
01/04/2024,7,Ruang Meeting 3,12
01/04/2024,7,Ruang Istirahat,11
01/04/2024,7,Ruang Meeting 4,10
01/04/2024,1,Parkir Motor,3
01/04/2024,1,Pantry DBS,8
01/04/2024,6,Istirahat,1
01/04/2024,7,Ruang SL 3,11
01/04/2024,7,Ruang SL 3,3
01/04/2024,7,Ruang Nursery,6
01/04/2024,1,SAS,3
01/04/2024,1,P2Tel,1
01/04/2024,7,Koridor,15
01/04/2024,7,Ruang Lobby,12
01/04/2024,7,Ruang SL 2,7
01/04/2024,7,Ruang Smoking,10
01/04/2024,1,Lobby,6
01/04/2024,7,Toilet Wanita,7
01/04/2024,6,Manager Kopeg Tel,4
01/04/2024,7,Ruang Working Space,16
01/04/2024,7,Ruang SL 2,10
01/04/2024,8,Aula Dalam,10
01/04/2024,1,P3K,5
01/04/2024,7,Toilet Pria,2
01/04/2024,7,Ruang SL 1,8
01/04/2024,7,Ruang Pantry,4
01/04/2024,7,Ruang Meeting 2,1
01/04/2024,1,Indibiz,4
01/04/2024,1,DBS,10
